Alimento,Cantidad_sugerida,Unidad,Peso_bruto,Peso_neto,Energia,Proteina,Lipidos,Carbohidratos,Fibra,Vitamina_A,Acido_Ascorbico,Acido_Folico,Hierro,Potasio,Calcio,Selenio,Fosforo,Sodio,Colesterol,AG_saturados,AG_monoinsaturados,AG_poliinsaturados,Azucar,IG,CG,Grupo
Blueberries congeladas con azúcar, 1/4,taza,58,58,47,0.2,0.1,12.6,1.3,0.5,3.5,4,0.2,34.5,0,0,0,0,0,0,0,0,11.4,ND,ND,Frutas
Blueberries en almibar, 1/4,taza,64,64,56,0.4,0.2,14.1,1,1.3,0.8,1.3,0.2,25.5,0,0,0,0,0,0,0,0,13.1,ND,ND,Frutas
Breba,5,pieza,200,192,63,1,0.2,16.1,3.3,71,1.9,0,4.4,372.5,0,0,0,0,0,0,0,0,0,ND,ND,Frutas
Caimito blanco o morado,1,pieza,200,130,68,1.7,2.2,12.2,3.8,0,15.6,0,5.7,0,0,0,0,0,0,0,0,0,0,ND,ND,Frutas
Calabaza melón,130,g,130,98,58,2.8,0.9,11.2,1.3,36.1,23.4,0,2.6,0,0,0,0,0,0,0,0,0,0,ND,ND,Frutas
Caña de azúcar,250,g,250,100,64,0.5,0.5,17.2,1.9,0,8,0,0.7,0,0,0,0,0,0,0,0,0,0,ND,ND,Frutas
Capulín,3,taza,480,96,63,1.4,0,16.1,0.6,25,12.5,0,1.3,0,0,0,0,0,0,0,0,0,0,ND,ND,Frutas
Carambola,1 1/2,pieza,191,171,53,1.8,0.6,11.5,4.8,83.7,36.5,24.3,0.4,279.5,0,0,0,0,0,0,0,0,6.8,ND,ND,Frutas
Cereza,20,pieza,136,88,56,0.9,0.2,14.7,2.1,18.2,6.5,3.9,0.4,197.6,0,0,0,0,0,0,0,0,11.3,22,3.234,Frutas
Cerezas congeladas,1,taza,155,155,71,1.4,0.7,17.1,2.5,68,3,7.8,0.8,192,0,0,0,0,0,0,0,0,14,ND,ND,Frutas
Cerezas en almibar, 1/4,taza,64,64,58,0.5,0.1,14.9,0.7,22.8,1.3,5.1,0.8,59.8,0,0,0,0,0,0,0,0,14.2,ND,ND,Frutas
Cerezas maschino enlatadas,4,pieza,20,20,64,0,0,16.8,1.2,0,0,0,0.2,8,0,0,0,0,0,0,0,0,15.6,ND,ND,Frutas
Chabacano,4,pieza,140,126,61,1.8,0.5,14,2.5,329.3,13.1,10.7,0.7,373.2,0,0,0,0,0,0,0,0,11.6,57,7.98,Frutas
Chagua,150,g,150,150,114,15.8,1.3,14,4.7,0.2,6.8,0,4.6,0,0,0,0,0,0,0,0,0,0,ND,ND,Frutas
Cherimoya picada, 1/2,taza,78,78,58,1.3,0.5,13.8,1.8,3,6,14.1,0.2,210,0,0,0,0,0,0,0,0,0,ND,ND,Frutas
Chicozapote, 1/2,pieza,85,75,62,0.3,0.8,14.9,4,4.4,11,10.6,0.6,144.3,0,0,0,0,0,0,0,0,0,40,5.96,Frutas
Chirimoya, 1/3,pieza,112,56,53,0.7,0.2,13.4,1.2,0.6,5,0,0.3,0,0,0,0,0,0,0,0,0,0,ND,ND,Frutas
Ciricote,300,g,300,90,59,1.1,0.1,15,1.4,25.2,9.9,0,1.7,0,0,0,0,0,0,0,0,0,0,ND,ND,Frutas
Ciruela criolla,3,pieza,198,158,73,1.1,0.4,18.1,2.2,50.4,14.4,2.4,0.2,273.6,0,0,0,0,0,0,0,0,0,39,7.059,Frutas
Ciruela negra, 1/2,pieza,83,66,50,0.7,0,12.5,1.3,ND,4.1,ND,0,68.4,0,0,0,0,0,0,0,0,10.6,ND,ND,Frutas
Ciruela pasa deshuesada,7,pieza,56,56,60,0.5,0.1,15.7,1.7,140,0,0,0.4,0,0,0,0,0,0,0,0,0,14,29,4.553,Frutas
Cocktail de frutas en almibar, 1/4,taza,62,62,44,0.3,0.1,11.7,1.1,8.8,1.3,1.9,0.2,55.8,0,0,0,0,0,0,0,0,10.6,ND,ND,Frutas
Cocktail de frutas enlatado con agua, 1/2,taza,119,119,38,0.5,0.1,10.1,1.2,15.5,2.5,3.6,0.3,111.5,0,0,0,0,0,0,0,0,8.9,ND,ND,Frutas
Cocktail de frutas enlatado con jugo de fruta, 1/2,taza,119,119,55,0.6,0,14.1,1.2,18,3,3.6,0.3,112.5,0,0,0,0,0,0,0,0,12.9,ND,ND,Frutas
Cocoyol,170,g,170,43,74,2.5,3.8,9.5,2.1,9.8,49.3,0,1.9,0,0,0,0,0,0,0,0,0,0,ND,ND,Frutas
Coloc,60,g,60,60,61,1.1,0.3,15.4,0.3,0.4,14.8,0,3.2,0,0,0,0,0,0,0,0,0,0,ND,ND,Frutas
Cundeamor,450,g,450,450,32,3.9,0.7,15.9,5.6,0.3,230,0,7.7,0,0,0,0,0,0,0,0,0,0,ND,ND,Frutas
Dátil seco,2,pieza,17,17,46,0.3,0,12.4,1.1,0.8,0,2,0.2,108.2,0,0,0,0,0,0,0,0,11,103,12.772,Frutas
Durazno amarillo,2,pieza,174,153,60,1.4,0.2,14.6,2.3,82.7,10.6,5.3,0.2,301,0,0,0,0,0,0,0,0,12.8,42,6.132,Frutas
Durazno congelado con azúcar, 1/4,taza,63,63,59,0.4,0.1,15,1.1,8.8,59,1.9,0.2,81.3,0,0,0,0,0,0,0,0,13.9,ND,ND,Frutas
Durazno en almibar, 1/2,taza,126,126,68,0.6,0.1,18.3,1.7,22.5,3,3.8,0.5,121.5,0,0,0,0,0,0,0,0,16.7,ND,ND,Frutas
Durazno enlatado en agua,1,taza,244,244,59,1.1,0.1,14.9,3.2,66,7,7.3,0.8,242,0,0,0,0,0,0,0,0,11.7,ND,ND,Frutas
Durazno enlatado en jugo, 1/2,taza,125,125,55,0.8,0.1,14.5,1.6,24,4.5,3.8,0.3,160,0,0,0,0,0,0,0,0,12.9,ND,ND,Frutas
Durazno prisco,3,pieza,150,132,51,1.2,0.1,12.5,2,46.2,13.2,0,0.4,266.6,0,0,0,0,0,0,0,0,11.1,42,5.25,Frutas
Frambuesa,1,taza,123,123,64,1.5,0.8,14.7,8,6,31,32,0.7,187,0,0,0,0,0,0,0,0,5.4,ND,ND,Frutas
Fresa entera,17,pieza med,204,204,65,1.4,0.6,15.7,4.1,55.1,120,49,0.8,312.1,0,0,0,0,0,0,0,0,10,40,6.28,Frutas
Fresa rebanada,1,taza,166,166,53,1.1,0.5,12.7,3.3,44.8,97.6,39.8,0.7,254,0,0,0,0,0,0,0,0,8.1,40,5.08,Frutas
Fresas congeladas con azúcar, 1/4,taza,64,64,50,0.3,0.1,13.4,1.2,0.8,25.3,2.6,0.3,62.5,0,0,0,0,0,0,0,0,11.9,ND,ND,Frutas
Fresas congeladas sin azúcar, 1/2,taza,111,111,39,0.5,0.1,10.1,2.3,2,45.5,18.8,0.8,163.5,0,0,0,0,0,0,0,0,5.1,ND,ND,Frutas
Frutas de la pasión,3,pieza,165,58,56,1.3,0.4,13.5,6,41.7,16,9.6,0.9,202.1,0,0,0,0,0,0,0,0,6.5,ND,ND,Frutas
Futa picada,1,taza,140,140,59,0.7,0.3,14.7,1.4,30.3,37.4,13.1,0.2,213.2,0,0,0,0,0,0,0,0,7.7,ND,ND,Frutas
Fruto del pan,85,g,85,74,60,1,0.4,14.9,1.3,3,21.4,0,0.4,362.4,0,0,0,0,0,0,0,0,0,38,5.662,Frutas
Gajos de mandarina,1,taza,105,105,56,0.9,0.3,14,1.9,113.4,75.6,8.4,0.3,186.9,0,0,0,0,0,0,0,0,11.1,ND,ND,Frutas
Gajos de naranja,1,taza,150,150,71,1.4,0.2,17.7,3.6,18,79.5,45,0.2,271.5,0,0,0,0,0,0,0,0,14,ND,ND,Frutas
Gajos de toronja,1,taza,150,150,50,0.8,0.2,12.6,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,11,ND,ND,Frutas
Giotilla,200,g,200,130,66,2.3,1,13.9,2,0,22.1,0,4.3,0,0,0,0,0,0,0,0,0,0,ND,ND,Frutas
Granada china,2,pieza,120,67,65,1.5,0.5,15.7,7.3,18.8,20.2,13.4,1.1,233.9,0,0,0,0,0,0,0,0,0,ND,ND,Frutas
Granada roja,1,pieza,190,87,44,0.9,0.3,15.5,2.4,0,5.2,0,0.3,226.4,0,0,0,0,0,0,0,0,0,ND,ND,Frutas
Grosellas,1,taza,150,150,66,1.3,0.9,15.3,6.4,22,42,9,0.5,297,0,0,0,0,0,0,0,0,0,ND,ND,Frutas
Grosellas en almibar, 1/4,taza,63,63,46,0.4,0.1,11.8,1.5,4.5,6.3,1.9,0.2,48.5,0,0,0,0,0,0,0,0,0,ND,ND,Frutas
Grosellas negras,1,taza,112,112,71,1.6,0.5,17.2,0,13,203,0,1.7,361,0,0,0,0,0,0,0,0,0,ND,ND,Frutas
Grosellas rojas o blancas,1,taza,112,112,63,1.6,0.2,15.5,4.8,2,46,9,1.1,308,0,0,0,0,0,0,0,0,8.3,ND,ND,Frutas
Guanábana chica,1,pieza,350,238,90,1,3.8,15.5,9,92.8,50,0,5.5,0,0,0,0,0,0,0,0,0,0,ND,ND,Frutas
Guayaba,3,pieza,135,124,63,1,0.7,14.8,7,39.7,227.3,0,0.4,352.7,0,0,0,0,0,0,0,0,0,ND,ND,Frutas
Guayaba rosa,1,pieza,90,77,52,2,0.7,11,4.1,6.9,28.2,0,0.2,223.2,0,0,0,0,0,0,0,0,6.8,ND,ND,Frutas
Higo,2,pieza,80,72,53,0.6,0.1,13.8,2.1,10.1,1.4,4.3,0.3,167,0,0,0,0,0,0,0,0,11.7,ND,ND,Frutas
Higo deshidratado,1,pieza,19,19,47,0.6,0.2,11.9,1.8,2.4,0.1,1.4,0.4,133.1,0,0,0,0,0,0,0,0,9,61,7.259,Frutas
Jinicuil,250,g,250,50,73,6,0.5,13.5,0.5,10,14,0,1,0,0,0,0,0,0,0,0,0,0,ND,ND,Frutas
Jugo de limón, 3/4,taza,180,180,45,0.7,0,15.6,0.7,3.7,82.6,22.9,0.1,223.5,0,0,0,0,0,0,0,0,4.3,ND,ND,Frutas
Jugo de mamey, 1/3,taza,80,80,52,0.6,1,12.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ND,ND,Frutas
Jugo de mango, 1/2,taza,120,120,61,0.1,0.1,15.7,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9,ND,ND,Frutas
Jugo de naranja natural, 1/2,taza,120,120,54,0.8,0.2,12.5,0.2,24.2,60,36.3,0.2,240,0,0,0,0,0,0,0,0,10.1,46,5.75,Frutas
Jugo de papaya, 1/3,taza,79,79,45,0.1,0.1,11.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,11,ND,ND,Frutas
Jugo de toronja natural, 1/2,taza,120,120,47,0.6,0.1,11,0.1,1,45.7,12.1,0.2,194.3,0,0,0,0,0,0,0,0,10.1,48,5.28,Frutas
Kiwi,1 1/2,pieza,132,114,69,1.2,0.6,16.6,3.4,20.9,110.5,43.3,0.5,376.4,0,0,0,0,0,0,0,0,10.2,53,8.798,Frutas
Lichis,12,pieza,180,90,59,0.7,0.3,14.9,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7,79,11.771,Frutas
Lima,3,pieza,234,147,44,1,0.3,15.5,4.1,5.1,78.8,15.3,0.9,203.3,0,0,0,0,0,0,0,0,2.5,ND,ND,Frutas
Limón real,4,pieza,232,153,31,1.8,0.5,16.4,7.2,0,45.9,0,2.4,0,0,0,0,0,0,0,0,0,0,ND,ND,Frutas
Mamey, 1/3,pieza,137,85,58,1.4,0.5,13.7,3.8,51.7,19.5,0,2,0,0,0,0,0,0,0,0,0,0,ND,ND,Frutas
Mandarina,2,pieza,180,128,68,1,0.4,17,2.3,138,92,10.2,0.4,227.5,0,0,0,0,0,0,0,0,13.5,ND,ND,Frutas
Mandarina reyna,1,pieza,200,142,75,1.2,0.4,18.9,2.6,153.4,102.2,11.4,0.4,252.8,0,0,0,0,0,0,0,0,15,ND,ND,Frutas
Mango ataulfo, 1/2,pieza,95,62,40,0.3,0.2,10.5,1.1,84.6,17.3,0,0.1,96.3,0,0,0,0,0,0,0,0,0,51,5.355,Frutas
Mango criollo,1 1/2,pieza,300,162,57,1.3,0,14.6,1.8,388.8,129.6,0,2.1,306.2,0,0,0,0,0,0,0,0,0,51,7.446,Frutas
Mango en almibar enlatado,1,pieza,61,61,56,0.3,0.1,15,0.1,31.7,19.5,0,0.5,0,0,0,0,0,0,0,0,0,0,ND,ND,Frutas
Mango manila,1,pieza,207,145,62,1.2,0,16.1,1.6,486.9,110.1,0,1.2,273.9,0,0,0,0,0,0,0,0,0,51,8.211,Frutas
Mango petacón, 1/2,pieza,200,110,72,0.6,0.3,12.9,1.2,150.7,30.8,0,0.1,171.6,0,0,0,0,0,0,0,0,0,51,6.579,Frutas
Mango picado,1,taza,165,165,58,1.3,0,14.9,1.8,226.1,46.2,0,0.2,257.4,0,0,0,0,0,0,0,0,0,51,7.599,Frutas
Manzana,1,pieza,138,106,55,0.3,0.2,14.7,2.6,5.4,6.2,3.1,0.2,122.4,0,0,0,0,0,0,0,0,11,38,5.586,Frutas
Manzana al vapor, 1/2,taza,86,86,44,0.2,0.1,11.7,2.1,3.5,0,0.5,0.2,75,0,0,0,0,0,0,0,0,8.9,ND,ND,Frutas
Manzana amarilla,1,pieza,130,100,65,0.3,0.3,16.5,2.1,10,11,0.4,0.7,113.1,0,0,0,0,0,0,0,0,10.4,ND,ND,Frutas
Manzana cocida, 1/2,taza,86,86,44,0.2,0.1,11.7,2.1,3.5,0,0.5,0.2,75,0,0,0,0,0,0,0,0,8.9,ND,ND,Frutas
Manzana deshidratada,9,orejon,23,23,55,0.2,0.1,15,2,0,0.7,0,0.3,102.4,0,0,0,0,0,0,0,0,13,ND,ND,Frutas
Manzana en almibar,1,pieza,24,24,54,0,0,15.7,2.1,1.2,0.5,0.1,0,16.2,0,0,0,0,0,0,0,0,13.6,ND,ND,Frutas
Manzana en almibar enlatada,1,pieza,24,24,54,0,0,15.7,2.1,1.2,0.5,0.1,0,16.2,0,0,0,0,0,0,0,0,13.6,ND,ND,Frutas
Manzana golden,1,pieza,130,100,65,0.3,0.3,16.5,2.1,10,11,0.4,0.7,113.1,0,0,0,0,0,0,0,0,13.3,ND,ND,Frutas
Manzana granny, 1/2,pieza,93,71,42,0.2,0.3,10.8,1.9,3.6,4.1,2.1,0.1,82.1,0,0,0,0,0,0,0,0,9.5,ND,ND,Frutas
Manzana picada, 1/2,taza,75,75,44,0.2,0.3,11.4,2,3.8,4.3,2.2,0.1,86.4,0,0,0,0,0,0,0,0,10,ND,ND,Frutas
Manzana roja,1,pieza,185,142,84,0.3,0.5,21.7,3.8,7.2,8.3,4.1,0.3,164.1,0,0,0,0,0,0,0,0,19,ND,ND,Frutas
Manzana sin cáscara,1,pieza,128,128,73,0.2,0.4,19,1.7,5,5,1,0.1,145,0,0,0,0,0,0,0,0,12.9,ND,ND,Frutas
Manzana verde, 1/2,pieza,93,71,42,0.2,0.3,10.8,1.9,3.6,4.1,2.1,0.1,82.1,0,0,0,0,0,0,0,0,9.5,ND,ND,Frutas
Manzana Washington, 1/2,pieza,93,71,42,0.2,0.3,10.8,1.9,3.6,4.1,2.1,0.1,82.1,0,0,0,0,0,0,0,0,9.5,ND,ND,Frutas
Maracuyá,3,pieza,150,53,51,1.2,0.4,12.3,5.5,37.9,14.6,8.8,0.8,183.8,0,0,0,0,0,0,0,0,5.9,ND,ND,Frutas
Maracuyá rebanado, 1/2,taza,69,69,66,1.5,0.5,16,7.1,49.5,19,11.4,1.1,239.8,0,0,0,0,0,0,0,0,7.7,ND,ND,Frutas
Marañón fresco,190,g,190,171,62,1.5,0.5,14.4,4.6,136.8,285.6,0,4.1,0,0,0,0,0,0,0,0,0,0,ND,ND,Frutas
Melón, 1/3,pieza,271,179,61,1.5,0.3,14.6,1.6,225.6,64.5,30.4,0.4,553.4,0,0,0,0,0,0,0,0,14.1,65,9.49,Frutas
Melón cantalope, 1/3,pieza,271,179,61,1.5,0.3,14.6,1.6,225.6,64.5,30.4,0.4,553.4,0,0,0,0,0,0,0,0,14.1,ND,ND,Frutas
Melón chino, 1/4,pieza,219,144,52,0.8,0.2,13.1,1.2,181.9,52,24.5,0.3,446.1,0,0,0,0,0,0,0,0,11.7,ND,ND,Frutas
Melón picado,1,taza,160,160,54,1.3,0.3,13.1,1.4,201.6,57.6,27.2,0.3,494.4,0,0,0,0,0,0,0,0,12.6,ND,ND,Frutas
Melón valenciano, 1/3,pieza,271,179,61,1.5,0.3,14.6,1.6,5.4,75.2,30.4,0.4,553.4,0,0,0,0,0,0,0,0,14.1,ND,ND,Frutas
Melón valenciano picado,1,taza,160,160,54,1.3,0.3,13.1,1.4,4.8,67.2,27.2,0.3,494.4,0,0,0,0,0,0,0,0,12.6,ND,ND,Frutas
Melón verde picado,1,taza,160,160,58,0.9,0.2,14.5,1.3,515,68,27,0.3,494,0,0,0,0,0,0,0,0,13,ND,ND,Frutas
Membrillo,1,pieza,163,98,56,0.4,0.1,15,1.7,3.9,14.7,0,0.7,192.7,0,0,0,0,0,0,0,0,0,ND,ND,Frutas
Moras, 3/4,taza,108,108,67,2.2,0.6,14.9,8.2,42.1,22.7,27,0.7,175,0,0,0,0,0,0,0,0,7.6,ND,ND,Frutas
Nanche agrio,45,pieza,225,122,66,1.3,1.6,13.9,2.4,4.9,86.3,0,1.2,0,0,0,0,0,0,0,0,0,0,ND,ND,Frutas
Naranja,2,pieza,242,152,72,1.4,0.2,18,3.7,18.3,80.8,45.7,0.2,276,0,0,0,0,0,0,0,0,14.3,42,7.56,Frutas
Naranja agria,2,pieza,200,126,73,1.9,0.8,14.9,3,12.6,39.1,0,1,252,0,0,0,0,0,0,0,0,11.8,ND,ND,Frutas
Naranja cajera,2,pieza,220,139,69,1.4,1,16.4,3.3,15.2,70.7,0,3.5,277.2,0,0,0,0,0,0,0,0,13,ND,ND,Frutas
Naranja china,4,pieza,140,129,48,2.1,0.4,15.2,3.1,36.1,56.7,0,1.2,0,0,0,0,0,0,0,0,0,12,ND,ND,Frutas
Naranja sin semilla,1,pieza,201,155,72,1.1,0.6,18.3,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,ND,ND,Frutas
Naranja valenciana,2,pieza,242,162,79,1.7,0.5,19.1,3.9,37.5,79.1,63,0.1,290.8,0,0,0,0,0,0,0,0,15.2,ND,ND,Frutas
Naranja concentrada, 1/2,taza,130,130,57,1,0.2,13.2,0.3,0,0,0,0,7.6,0,0,0,0,0,0,0,0,0,ND,ND,Frutas
Nectarina,1,pieza,136,124,54,1.3,0.4,13.1,2.1,91.9,6.4,4.6,0.2,262.1,0,0,0,0,0,0,0,0,9.8,ND,ND,Frutas
Níspero,25,pieza,350,140,59,0.1,1.2,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ND,ND,Frutas
Níspero del japón,2,pieza,180,108,52,0.4,0.2,13.4,1.3,56.2,1.1,8.6,0.3,287.3,0,0,0,0,0,0,0,0,0,ND,ND,Frutas
Orejones de chabacano,7,pieza,25,25,59,0.8,0.1,15.3,1.8,177.1,0.7,2.8,1.2,337.4,0,0,0,0,0,0,0,0,13.1,30,4.59,Frutas
Orejones de durazno,2,pieza,26,26,62,0.9,0.2,15.9,2.1,56.2,1.2,0,1.1,259,0,0,0,0,0,0,0,0,10.9,ND,ND,Frutas
Orejones de manzana,9,pieza,23,23,55,0.2,0.1,14.8,2,0,0.7,0,0.3,101.3,0,0,0,0,0,0,0,0,12.9,29,4.292,Frutas
Orejones de pero,1,pieza,18,18,47,0.3,0.1,12.5,1.3,0,1.2,0,0.4,96,0,0,0,0,0,0,0,0,11.2,ND,ND,Frutas
Papaya hawaiana, 1/2,pieza pequeña,152,114,45,0.7,0.2,11.2,2.1,23.9,70.5,43.3,0.1,292.9,0,0,0,0,0,0,0,0,0,ND,ND,Frutas
Papaya picada,1,taza,140,140,55,0.8,0.1,13.7,2.5,29.4,86.5,53.2,0.1,359.8,0,0,0,0,0,0,0,0,0,59,8.083,Frutas
Papilla de chabacano con tapioca, 3/4,frasco,98,98,61,0.3,0,16.9,1.5,70.2,2,1.5,0.3,118,0,0,0,0,0,0,0,0,1.4,ND,ND,Frutas
Papilla de ciruela pasa con tapioca, 3/4,frasco,98,98,68,0.6,0.1,18.2,2.6,43.9,1,0.2,0.4,172.6,0,0,0,0,0,0,0,0,10.7,ND,ND,Frutas
Papilla de durazno, 3/4,frasco,98,98,63,0.9,0.3,14.1,1.3,15.6,2.9,3.8,0.2,158,0,0,0,0,0,0,0,0,11.2,ND,ND,Frutas
Papilla de frutas mixtas, 3/4,frasco,98,98,59,0.2,0,16,ND,0,30.2,0,0.2,81.9,0,0,0,0,0,0,0,0,0,ND,ND,Frutas
Papilla de guayaba y papaya con tapioca, 3/4,frasco,98,98,61,0.2,0.1,16.6,ND,0,100.6,0,0.1,146.3,0,0,0,0,0,0,0,0,0,ND,ND,Frutas
Papilla de mango con tapioca, 2/3,frasco,85,85,59,0.3,0.2,15.1,0.9,56.6,1.7,0,0.1,49.9,0,0,0,0,0,0,0,0,11,ND,ND,Frutas
Papilla de manzana, 2/3,frasco,85,85,61,0.3,0,16.6,ND,1.7,0,0.3,0.2,42.3,0,0,0,0,0,0,0,0,0,ND,ND,Frutas
Papilla de manzana y chabacano,1,frasco,130,130,61,0.3,0.3,16.1,2.3,50.7,2.6,1.7,0.4,156,0,0,0,0,0,0,0,0,11.3,ND,ND,Frutas
Papilla de pera, 3/4,frasco,98,98,56,0.3,0.1,13.3,1.2,2.9,2,3.5,0.2,126.8,0,0,0,0,0,0,0,0,8.4,ND,ND,Frutas
Papilla de pera y piña,1,frasco,130,130,57,0.4,0.3,14.8,3.4,3.9,2.6,3.6,0.3,150.8,0,0,0,0,0,0,0,0,9.6,ND,ND,Frutas
Papilla de plátano y piña con tapioca, 3/4,frasco,98,98,66,0.2,0.1,17.9,1.6,3.9,2,5.4,0.1,76.1,0,0,0,0,0,0,0,0,8.2,ND,ND,Frutas
Pasas,10,pieza,20,20,59,0.5,0.1,15.7,1.4,0,1,0.6,0.5,165,0,0,0,0,0,0,0,0,0,64,10.048,Frutas
Pasitas,10,pieza,20,20,59,0.5,0.1,15.7,1.4,0,1,0.6,0.5,165,0,0,0,0,0,0,0,0,0,64,10.048,Frutas
Pasitas sin semilla,10,pieza,20,20,60,0.6,0.1,15.8,0.7,0.2,0.6,0.6,0.4,150.2,0,0,0,0,0,0,0,0,11.8,ND,ND,Frutas
Pera, 1/2,pieza,95,81,47,0.3,0.1,12.5,2.5,1.5,3.4,5.8,0.2,101.2,0,0,0,0,0,0,0,0,7.9,38,4.75,Frutas
Piña picada, 3/4,taza,124,124,62,0.7,0.1,16.2,1.7,2.4,19.2,12.8,0.5,139.7,0,0,0,0,0,0,0,0,12.2,59,9.558,Frutas
Piña rebanada,1,rebanada,84,84,42,0.5,0.1,11,1.2,1.6,13,8.7,0.3,94.8,0,0,0,0,0,0,0,0,8.3,59,6.49,Frutas
Plátano, 1/2,pieza,80,54,50,0.6,0.2,12.4,1.4,4.3,4.8,10.5,0.2,215.2,0,0,0,0,0,0,0,0,6.7,52,6.448,Frutas
Pomelo,260,g,260,153,58,0.9,0.2,14.7,0.3,0,93.6,18.4,0.2,331.3,0,0,0,0,0,0,0,0,0,25,3.675,Frutas
Rambután en almibar, 1/4,taza,54,54,44,0.4,0.1,11.2,0.5,0,2.5,4.3,0.2,22.5,0,0,0,0,0,0,0,0,0,33,3.696,Frutas
Sandía picada,1,taza,160,160,48,1,0.2,12.1,0.6,59,15,4,0.3,186,0,0,0,0,0,0,0,0,9.9,72,8.712,Frutas
Sandía rebanada,1,rebanada,200,200,60,1.3,0.3,15.1,0.8,73.8,18.8,5,0.3,232.5,0,0,0,0,0,0,0,0,12.4,72,10.872,Frutas
Toronja,1,pieza,246,162,54,0.9,0.2,13.7,1.8,4.9,86.1,16.2,0.2,225.7,0,0,0,0,0,0,0,0,11.9,25,3.425,Frutas
Uva,18,pieza,126,86,61,0.6,0.5,15.3,1.1,1.7,9.4,3.4,0.2,158.5,0,0,0,0,0,0,0,0,0,43,6.579,Frutas
Uva blanca,1,taza,92,87,59,0.6,0.3,15,0.8,8.6,3.8,3.8,0.3,167.2,0,0,0,0,0,0,0,0,14.3,43,6.45,Frutas
Arroz cocido, 1/4,taza,47,47,60,1.1,0.1,13.3,0.1,0,0,2.6,0.7,0,1.4,0,0,0,0,0,0,0,ND,64,8.512,Cereales sin grasa
Arroz inflado con cacao, 1/2,taza,17,17,64,0.9,0.2,14.7,0.1,0,0,58.2,1,0,3,0,0,126.2,0,0,0,0,ND,82,12.054,Cereales sin grasa
Arroz integral cocido, 1/3,taza,65,65,73,1.5,0.5,15.3,1.2,0,0,2.6,0.3,0,6.7,0,0,0.7,0,0,0,0,ND,66,10.098,Cereales sin grasa
Arroz precocido cocido, 1/3,taza,52,52,64,1.5,0.2,13.6,0.5,0,0,1.6,0.1,0,9.9,0,0,1,0,0,0,0,0.1,48,6.528,Cereales sin grasa
Arroz salvaje cocido, 1/3,taza,54,54,55,2.1,0.2,11.6,1,0,0,14.1,0.3,0,1.7,0,0,1.7,0,0,0,0,0.4,54,6.264,Cereales sin grasa
Atole en polvo,7,Cucharadita,18,18,68,0,0,16.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ND,74,12.136,Cereales sin grasa
Atole en sobre, 1/3,sobre,16,16,58,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ND,51,7.14,Cereales sin grasa
Atole vitaminado, 1/3,sobre,16,16,59,0,0,14.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ND,51,7.191,Cereales sin grasa
Avena cocida, 3/4,taza,164,164,66,5.2,1.3,18.8,4.3,0,0,10.5,1.4,0,16.4,0,0,1.5,0,0,0,0,ND,50,9.4,Cereales sin grasa
Avena con canela y espacias, 1/3,sobre,15,15,56,1.3,0.7,11.7,1,0,0,29,1.3,0,36.3,0,0,81.2,0,0,0,0,5.1,65,7.605,Cereales sin grasa
Avena con manzana y canela, 1/3,sobre,14,14,53,1.2,0.7,10.9,0.9,0,0,27.1,1.2,0,33.9,0,0,75.9,0,0,0,0,4.8,65,7.085,Cereales sin grasa
Avena con pasitas y especias, 1/3,sobre,14,14,53,1.2,0.7,10.9,0.9,0,0,27.1,1.2,0,33.9,0,0,75.9,0,0,0,0,4.8,65,7.085,Cereales sin grasa
Avena en hojuelas, 1/2,taza,20,20,65,4.6,1.9,17.6,4.1,0,0,0,0.8,0,10.4,0,0,0.8,0,0,0,0,0.2,65,11.44,Cereales sin grasa
Avena instantanea preparada, 1/3,taza,77,77,68,4.8,2,18.2,4.3,0,0,54.8,4.6,0,61.8,0,0,37.8,0,0,0,0,0.4,65,11.83,Cereales sin grasa
Bagel, 1/3,pieza,24,24,65,2.5,0.4,12.6,0.6,0,0,5.3,0.8,0,17.7,0,0,126.3,0,0,0,0,ND,72,9.072,Cereales sin grasa
Bagette, 1/7,pieza,27,27,72,2.2,1,13.4,0.6,0,0,9.7,0.8,0,29.2,0,0,145.8,0,0,0,0,1,95,12.73,Cereales sin grasa
Burbujas de maíz azucaradas, 1/2,taza,16,16,59,0.7,0.1,14,0.2,0,0,50,0.9,0,2,0,0,59.5,0,0,0,0,7,80,11.2,Cereales sin grasa
Cebada perla cocida, 1/3,taza,52,52,64,1.2,0.2,14.8,2,0,0,8.3,0.7,0,5.7,0,0,1.7,0,0,0,0,ND,25,3.7,Cereales sin grasa
Centeno,5,Cucharadita,22,22,72,2.6,0.4,15.9,0.4,0,0,0,0.8,0,8.2,0,0,0,0,0,0,0,ND,41,6.519,Cereales sin grasa
